@echo off
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% %%%aaaaaaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%:\%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaa%%aaaaaaaaaaaa%%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% "%aaaaaaaaaaaaaaaaaaaaaaaaa%:\%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%%%aaaaaaaaaaaaaaaaaaaaaaaaa%\%aa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaa%\%aaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%"
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% %%%aaaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%:\%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaa%%aaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%" "%aaaaaaaaaaaaaaaaaaaaaaaaa%:\%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%%%aaaaaaaaaaaaaaaaaaaaaa%\%aa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaa%\%aaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%%aaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%\%aaa%%aaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%"
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaaaaaaaaaaaaaaaaaaaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaaaaaaaaaaaaaaaaaaaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa% %aaaaaaaaaaaaaaaaaaaaaaaaa%: /%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaa%)))
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaa%%aaaaaaa% %aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaa%: (%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaa% "%aaaaa%%aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%=" %%%aaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% ('%aaaaa%%aaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% %aaaaaaaaa%:\*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa% /%aaa%') %aaaaa%%aaaaaaaaaaaaaaaa% %aaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaaaaaaaaa% "%aaaa%:\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaa%%aaaaaaaaaaaaaaaaaaa%%aa%%aaaaaaaaaaaaaa%%aaaaa%%aa%%aaaaaaaaaaaaaaaaaaaaa%%aa%\%aaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%\%aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%" "%aaaaaaaaa%:\%%%aaaaaaaaa%"
%aaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaa% /%aaaaaaaaaaaaaaaaaaa% "%aaaaaaaaa%:" %%%aaaaaaa% %aaaaaaaaaa%%aaaaaaaaaaaaaaa% (*.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%) %aaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaa% "%%%aaaaaaa%" *.%aaaaa%%aaaaaaaaaaaaaaaa%%aaaa%
%aaaaaaaaaa%%aaaaaaa% %%aaaaaaaaaa%%aaaaaaaaaa%% == 256 (%aaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%) %aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa% (%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% /%aa% %aaaaaaaaaa%%aaaaaaaaaa%=%aaaaaaaaaa%%aaaaaaaaaa%+1)
%aaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%
:%aaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%
%aaaaaaaaaa%%aaaaaaa% %%aaaaaaaaaa%% == 256 (%aaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa%) %aaaaaa%%aaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa% (%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% /%aa% %aaaaaaaaaa%=%aaaaaaaaaa%+1)
%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaa%=1
%aaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%
:%aaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa%
%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%=0
%aaaaaaaaaaaaaaaaaaaa%%aaaaaa%%aaaaaaaaaaaaaaaaaaaaa% %aaaaaaaaaa%%aaaaaaaaaa%=1
%aaaaaaaa%%aaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaa% %aaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaaaaaaaaa%%aaaaaaaaaaaaaaa%
